clean_message,label
going on nothing greatbye,0
i wont so wats wit the guys,0
ok ksry i knw sivatats y i askd,0
where are you what do you do how can you stand to be away from me doesnt your heart ache without me dont you wonder of me dont you crave me,0
have you not finished work yet or something,0
hhahhaahahah rofl wtf nig was leonardo in your room or something,0
wot u up j,0
hiya sorry didnt hav signal i havent seen or heard from and neither has which is unusual in itself ill put on the case and get him to sort it out hugs and snogs,0
we r outside already,0
free nokia or motorola with upto mths price linerental free xnet minstxtmth free btooth call mobileupd on or call optoutdwv,1
how is your schedule next week i am out of town this weekend,0
goodmorning today i am late for hr,0
dizzamn aight ill ask my suitemates when i get back,0
why must we sit around and wait for summer days to celebrate such a magical sight when the worlds dressed in white oooooh let there be snow,0
pls call me da what happen,0
call to use ur mins calls cast pmin mob vary service provided by aom just gbpmonth aom boxm er until u stop ages only,1
are u awake is there snow there,0
nope since ayo travelled he has forgotten his guy,0
friendship is not a game to play it is not a word to say it doesnt start on march and ends on may it is tomorrow yesterday today and e,0
lol your right what diet everyday i cheat anyway im meant to be a fatty,0
haha really oh no how then will they deduct your lesson tmr,0
hows it going got any exciting karaoke type activities planned im debating whether to play football this eve feeling lazy though,0
want a new video phone anytime any network mins half price line rental free text for months reply or call for free delivery,1
great i was getting worried about you just know that a wonderful and caring person like you will have only the best in life know that u r wonderful and gods love is yours,0
how did you find out in a way that didnt include all of these details,0
well you know what i mean texting,0
its sunny in california the weathers just cool,0
ummmmmaah many many happy returns of d day my dear sweet heart happy birthday dear,0
dad went out oredi,0
short but cute be a good person,0
will b going to esplanade fr home,0
you have an important customer service announcement call freephone now,1
moji i love you more than words have a rich day,0
i will be outside office take all from there,0
that one week leave i put know that time why,0
yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for by the way who is this dont know number joke,0
huh but i cant go ur house empty handed right,0
we not watching movie already xy wants shop so im shopping w her now,0
do i i thought i put it back in the box,0
you have an important customer service announcement call freephone now,1
i know where the ltgt is ill be there around,0
i want to sent ltgt mesages today thats y sorry if i hurts,0
hi baby ive just got back from work and i was wanting to see u allday i hope i didnt piss u off on the phone today if u are up give me a call xxx,0
he neva grumble but i sad lor hee buy tmr lor aft lunch but we still meetin lunch tmr a not neva hear fr them lei got a lot of work ar,0
yessura in sun tvlol,0
i thought slide is enough,0
do have a nice day today i love you so dearly,0
hi my email address has changed now it is,0
life alle moneeppolum oru pole allalo,0
ur cashbalance is currently pounds to maximize ur cashin now send go to only pmsg cc hgsuitelands rowwjhl,1
babe u want me dont u baby im nasty and have a thing filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slomsgs,1
i got another job the one at the hospital doing data analysis or something starts on monday not sure when my thesis will got finished,0
wat time do u wan meet me later,0
after the drug she will be able to eat,0
as per your request maangalyam alaipayuthe has been set as your callertune for all callers press to copy your friends callertune,0
tell dear what happen to you why you talking to me like an alian,0
u too,0
gibbs unsoldmike hussey,0
thought praps you meant another one goodo ill look tomorrow,0
want explicit sex in secs ring now costs pmin gsex pobox wcn xx,1
lets pool our money together and buy a bunch of lotto tickets if we win i get ltgt u get ltgt deal,0
wheres my boytoy i miss you what happened,0
free ringtone text first to for a poly or text get to for a true tone help after st free tones are xpw to end txt stop,1
i dont know oh hopefully this month,0
lol enjoy role playing much,0
i tot u outside cos darren say u come shopping of course we nice wat we jus went sim lim look at mp player,0
hard live chat just pmin choose your girl and connect live call now cheap chat uks biggest live service vu bcmwcnxx,1
i was about to do it when i texted i finished a long time ago and showered and erything,0
the fact that youre cleaning shows you know why im upset your priority is constantly what i want to do,0
nt joking seriously i told,0
hey u still at the gym,0
ill reach in ard mins ok,0
my exam is for february wish you a great day,0
good good billy mates all gone just been jogging again did enjoy concert,0
sorry i missed you babe i was up late and slept in i hope you enjoy your driving lesson boytoy i miss you too teasing kiss,0
this weekend is fine an excuse not to do too much decorating,0
private your account statement for shows unredeemed sim points call identifier code expires,1
im really sorry i lit your hair on fire,0
of course i guess gods just got me on hold right now,0
thanks for looking out for me i really appreciate,0
i think its far more than that but find out check google maps for a place from your dorm,0
no im good for the movie is it ok if i leave in an hourish,0
yo howz u girls never rang after india l,0
were on the opposite side from where we dropped you off,0
so is there anything specific i should be doing with regards to jaklin or what because idk what the fuck,0
now im going out dinner soon,0
thanks your continued support your question this week will enter u in our draw cash name the new us president txt ans to,1
dear got train and seat mine lower seat,0
urgent this is the nd attempt to contact uu have won call b tcsbcmwcnxx callcost ppm mobilesvary max,1
babe i fucking love you too you know fuck it was so good to hear your voice i so need that i crave it i cant get enough i adore you ahmad kisses,0
howz painit will come down todaydo as i said ystrdayice and medicine,0
ok then i will come to ur home after half an hour,0
ambrithmaduraimet u in arun dha marrgeremembr,0
you have won cash or a prize to claim call tc rstm sw ss ppm,1
